county,period,period_name,year,value
Anderson,12,December,2018,3.2
Anderson,11,November,2018,3.3
Anderson,10,October,2018,3.7
Anderson,9,September,2018,3.6
Anderson,8,August,2018,4
Anderson,7,July,2018,4.3
Anderson,6,June,2018,4.5
Anderson,5,May,2018,3.3
Anderson,4,April,2018,3.3
Anderson,3,March,2018,3.8
Anderson,2,February,2018,3.9
Anderson,1,January,2018,4.1
Anderson,12,December,2017,3.4
Anderson,11,November,2017,3.4
Anderson,10,October,2017,3.6
Anderson,9,September,2017,3.6
Anderson,8,August,2017,4
Anderson,7,July,2017,4.3
Anderson,6,June,2017,4.4
Anderson,5,May,2017,3.3
Anderson,4,April,2017,3.4
Anderson,3,March,2017,4.4
Anderson,2,February,2017,4.6
Anderson,1,January,2017,5
Anderson,12,December,2016,4.5
Anderson,11,November,2016,4.6
Anderson,10,October,2016,5
Anderson,9,September,2016,5.2
Anderson,8,August,2016,5.1
Anderson,7,July,2016,5.4
Anderson,6,June,2016,5.4
Anderson,5,May,2016,4.2
Anderson,4,April,2016,4.3
Anderson,3,March,2016,4.7
Anderson,2,February,2016,4.8
Anderson,1,January,2016,5
Anderson,12,December,2015,4.9
Anderson,11,November,2015,5
Anderson,10,October,2015,5.3
Anderson,9,September,2015,5.5
Anderson,8,August,2015,5.7
Anderson,7,July,2015,6.3
Anderson,6,June,2015,6.4
Anderson,5,May,2015,5.9
Anderson,4,April,2015,5.5
Anderson,3,March,2015,6.1
Anderson,2,February,2015,6.4
Anderson,1,January,2015,6.9
Anderson,12,December,2014,6.1
Anderson,11,November,2014,6.4
Anderson,10,October,2014,6.5
Anderson,9,September,2014,6.7
Anderson,8,August,2014,7.1
Anderson,7,July,2014,7.5
Anderson,6,June,2014,7.2
Anderson,5,May,2014,6.6
Anderson,4,April,2014,6.2
Anderson,3,March,2014,7
Anderson,2,February,2014,7.1
Anderson,1,January,2014,7.1
Anderson,12,December,2013,7.1
Anderson,11,November,2013,7.2
Anderson,10,October,2013,7.7
Anderson,9,September,2013,7.7
Anderson,8,August,2013,7.9
Anderson,7,July,2013,8.3
Anderson,6,June,2013,8.8
Anderson,5,May,2013,7.8
Anderson,4,April,2013,7.7
Anderson,3,March,2013,8.2
Anderson,2,February,2013,8.1
Anderson,1,January,2013,8.5
Anderson,12,December,2012,7.7
Anderson,11,November,2012,7.1
Anderson,10,October,2012,7.5
Anderson,9,September,2012,7.5
Anderson,8,August,2012,8.3
Anderson,7,July,2012,8.7
Anderson,6,June,2012,8.7
Anderson,5,May,2012,7.9
Anderson,4,April,2012,7.4
Anderson,3,March,2012,8.1
Anderson,2,February,2012,8
Anderson,1,January,2012,8.1
Anderson,12,December,2011,7.6
Anderson,11,November,2011,7.6
Anderson,10,October,2011,8
Anderson,9,September,2011,8.6
Anderson,8,August,2011,8.9
Anderson,7,July,2011,8.9
Anderson,6,June,2011,9.5
Anderson,5,May,2011,8.7
Anderson,4,April,2011,8.8
Anderson,3,March,2011,9.3
Anderson,2,February,2011,9.5
Anderson,1,January,2011,9.7
Bedford,12,December,2018,3.2
Bedford,11,November,2018,3.3
Bedford,10,October,2018,3.5
Bedford,9,September,2018,3.7
Bedford,8,August,2018,4.1
Bedford,7,July,2018,4.5
Bedford,6,June,2018,4.7
Bedford,5,May,2018,3.3
Bedford,4,April,2018,3.2
Bedford,3,March,2018,3.6
Bedford,2,February,2018,3.7
Bedford,1,January,2018,4
Bedford,12,December,2017,3.3
Bedford,11,November,2017,3.4
Bedford,10,October,2017,3.5
Bedford,9,September,2017,3.6
Bedford,8,August,2017,4
Bedford,7,July,2017,4.5
Bedford,6,June,2017,4.5
Bedford,5,May,2017,3.8
Bedford,4,April,2017,3.4
Bedford,3,March,2017,4
Bedford,2,February,2017,4.5
Bedford,1,January,2017,5.1
Bedford,12,December,2016,4.6
Bedford,11,November,2016,4.7
Bedford,10,October,2016,5
Bedford,9,September,2016,5.3
Bedford,8,August,2016,5.3
Bedford,7,July,2016,5.7
Bedford,6,June,2016,5.7
Bedford,5,May,2016,4.3
Bedford,4,April,2016,4.3
Bedford,3,March,2016,4.7
Bedford,2,February,2016,4.7
Bedford,1,January,2016,5
Bedford,12,December,2015,5.1
Bedford,11,November,2015,5.5
Bedford,10,October,2015,5.7
Bedford,9,September,2015,6
Bedford,8,August,2015,6.3
Bedford,7,July,2015,7.4
Bedford,6,June,2015,7.5
Bedford,5,May,2015,6.5
Bedford,4,April,2015,6
Bedford,3,March,2015,6.9
Bedford,2,February,2015,6.9
Bedford,1,January,2015,7.4
Bedford,12,December,2014,6.6
Bedford,11,November,2014,7
Bedford,10,October,2014,6.9
Bedford,9,September,2014,7.3
Bedford,8,August,2014,7.8
Bedford,7,July,2014,8.7
Bedford,6,June,2014,8.3
Bedford,5,May,2014,7.2
Bedford,4,April,2014,6.8
Bedford,3,March,2014,7.7
Bedford,2,February,2014,7.7
Bedford,1,January,2014,7.8
Bedford,12,December,2013,7.9
Bedford,11,November,2013,8.2
Bedford,10,October,2013,8.7
Bedford,9,September,2013,8.7
Bedford,8,August,2013,8.9
Bedford,7,July,2013,10
Bedford,6,June,2013,10.2
Bedford,5,May,2013,9
Bedford,4,April,2013,8.7
Bedford,3,March,2013,9.5
Bedford,2,February,2013,9.9
Bedford,1,January,2013,10.6
Bedford,12,December,2012,9.5
Bedford,11,November,2012,9
Bedford,10,October,2012,9.3
Bedford,9,September,2012,9.3
Bedford,8,August,2012,9.8
Bedford,7,July,2012,11
Bedford,6,June,2012,10.7
Bedford,5,May,2012,9.5
Bedford,4,April,2012,8.8
Bedford,3,March,2012,9.8
Bedford,2,February,2012,10.1
Bedford,1,January,2012,10.5
