"year","population","county"
2010,75112,"Anderson"
2011,75173,"Anderson"
2012,75196,"Anderson"
2013,75258,"Anderson"
2014,75131,"Anderson"
2015,75459,"Anderson"
2016,75585,"Anderson"
2017,76257,"Anderson"
2010,45086,"Bedford"
2011,45227,"Bedford"
2012,45262,"Bedford"
2013,45584,"Bedford"
2014,46259,"Bedford"
2015,46892,"Bedford"
2016,47420,"Bedford"
2017,48117,"Bedford"
2010,16511,"Benton"
2011,16488,"Benton"
2012,16414,"Benton"
2013,16358,"Benton"
2014,16176,"Benton"
2015,16192,"Benton"
2016,16059,"Benton"
2017,15986,"Benton"
2010,12882,"Bledsoe"
2011,12906,"Bledsoe"
2012,12851,"Bledsoe"
2013,13846,"Bledsoe"
2014,14419,"Bledsoe"
2015,14483,"Bledsoe"
2016,14599,"Bledsoe"
2017,14717,"Bledsoe"
2010,123213,"Blount"
2011,123653,"Blount"
2012,123904,"Blount"
2013,124844,"Blount"
2014,125827,"Blount"
2015,126832,"Blount"
2016,128244,"Blount"
2017,129929,"Blount"
2010,99096,"Bradley"
2011,99838,"Bradley"
2012,101061,"Bradley"
2013,101747,"Bradley"
2014,102816,"Bradley"
2015,103802,"Bradley"
2016,104407,"Bradley"
2017,105560,"Bradley"
2010,40735,"Campbell"
2011,40567,"Campbell"
2012,40478,"Campbell"
2013,40217,"Campbell"
2014,39895,"Campbell"
2015,39687,"Campbell"
2016,39671,"Campbell"
2017,39648,"Campbell"
2010,13801,"Cannon"
2011,13723,"Cannon"
2012,13803,"Cannon"
2013,13704,"Cannon"
2014,13614,"Cannon"
2015,13754,"Cannon"
2016,13907,"Cannon"
2017,14216,"Cannon"
2010,28448,"Carroll"
2011,28530,"Carroll"
2012,28652,"Carroll"
2013,28588,"Carroll"
2014,28358,"Carroll"
2015,27953,"Carroll"
2016,27924,"Carroll"
2017,27860,"Carroll"
2010,57340,"Carter"
2011,57353,"Carter"
2012,57254,"Carter"
2013,56917,"Carter"
2014,56270,"Carter"
2015,56366,"Carter"
2016,56458,"Carter"
2017,56488,"Carter"
2010,39122,"Cheatham"
2011,38971,"Cheatham"
2012,39220,"Cheatham"
2013,39334,"Cheatham"
2014,39604,"Cheatham"
2015,39571,"Cheatham"
2016,39728,"Cheatham"
2017,40330,"Cheatham"
2010,17193,"Chester"
2011,17126,"Chester"
2012,17052,"Chester"
2013,17079,"Chester"
2014,17101,"Chester"
2015,17083,"Chester"
2016,17102,"Chester"
2017,17119,"Chester"
2010,32216,"Claiborne"
2011,32087,"Claiborne"
2012,31746,"Claiborne"
2013,31613,"Claiborne"
2014,31529,"Claiborne"
2015,31517,"Claiborne"
2016,31561,"Claiborne"
2017,31609,"Claiborne"
2010,7851,"Clay"
2011,7767,"Clay"
2012,7727,"Clay"
2013,7708,"Clay"
2014,7639,"Clay"
2015,7683,"Clay"
2016,7688,"Clay"
2017,7703,"Clay"
2010,35641,"Cocke"
2011,35401,"Cocke"
2012,35455,"Cocke"
2013,35325,"Cocke"
2014,35201,"Cocke"
2015,35068,"Cocke"
2016,35160,"Cocke"
2017,35556,"Cocke"
2010,52770,"Coffee"
2011,52909,"Coffee"
2012,53144,"Coffee"
2013,53295,"Coffee"
2014,53521,"Coffee"
2015,54094,"Coffee"
2016,54428,"Coffee"
2017,55034,"Coffee"
2010,14588,"Crockett"
2011,14558,"Crockett"
2012,14610,"Crockett"
2013,14608,"Crockett"
2014,14645,"Crockett"
2015,14578,"Crockett"
2016,14467,"Crockett"
2017,14473,"Crockett"
2010,56197,"Cumberland"
2011,56522,"Cumberland"
2012,56894,"Cumberland"
2013,57322,"Cumberland"
2014,57836,"Cumberland"
2015,58122,"Cumberland"
2016,58532,"Cumberland"
2017,59078,"Cumberland"
2010,627973,"Davidson"
2011,635602,"Davidson"
2012,649326,"Davidson"
2013,659868,"Davidson"
2014,670314,"Davidson"
2015,681285,"Davidson"
2016,688901,"Davidson"
2017,691243,"Davidson"
2010,11718,"Decatur"
2011,11681,"Decatur"
2012,11633,"Decatur"
2013,11662,"Decatur"
2014,11680,"Decatur"
2015,11600,"Decatur"
2016,11711,"Decatur"
2017,11751,"Decatur"
2010,18695,"De Kalb"
2011,18758,"De Kalb"
2012,18859,"De Kalb"
2013,19112,"De Kalb"
2014,19219,"De Kalb"
2015,19274,"De Kalb"
2016,19442,"De Kalb"
2017,19852,"De Kalb"
2010,49693,"Dickson"
2011,49924,"Dickson"
2012,50115,"Dickson"
2013,50131,"Dickson"
2014,50473,"Dickson"
2015,51327,"Dickson"
2016,51922,"Dickson"
2017,52853,"Dickson"
2010,38318,"Dyer"
2011,38110,"Dyer"
2012,38183,"Dyer"
2013,38088,"Dyer"
2014,37815,"Dyer"
2015,37782,"Dyer"
2016,37605,"Dyer"
2017,37463,"Dyer"
2010,38429,"Fayette"
2011,38566,"Fayette"
2012,38671,"Fayette"
2013,38821,"Fayette"
2014,39031,"Fayette"
2015,39218,"Fayette"
2016,39575,"Fayette"
2017,40036,"Fayette"
2010,17920,"Fentress"
2011,17993,"Fentress"
2012,17887,"Fentress"
2013,17910,"Fentress"
2014,17838,"Fentress"
2015,17860,"Fentress"
2016,17955,"Fentress"
2017,18136,"Fentress"
2010,40961,"Franklin"
2011,40818,"Franklin"
2012,40678,"Franklin"
2013,41173,"Franklin"
2014,41268,"Franklin"
2015,41324,"Franklin"
2016,41567,"Franklin"
2017,41652,"Franklin"
2010,49734,"Gibson"
2011,49829,"Gibson"
2012,49625,"Gibson"
2013,49330,"Gibson"
2014,49368,"Gibson"
2015,49196,"Gibson"
2016,49103,"Gibson"
2017,49111,"Gibson"
2010,29420,"Giles"
2011,29326,"Giles"
2012,28969,"Giles"
2013,28806,"Giles"
2014,28824,"Giles"
2015,28950,"Giles"
2016,29140,"Giles"
2017,29401,"Giles"
2010,22721,"Grainger"
2011,22750,"Grainger"
2012,22689,"Grainger"
2013,22736,"Grainger"
2014,22865,"Grainger"
2015,22851,"Grainger"
2016,23112,"Grainger"
2017,23144,"Grainger"
2010,68838,"Greene"
2011,69090,"Greene"
2012,68692,"Greene"
2013,68293,"Greene"
2014,68440,"Greene"
2015,68500,"Greene"
2016,68559,"Greene"
2017,68808,"Greene"
2010,13725,"Grundy"
2011,13587,"Grundy"
2012,13591,"Grundy"
2013,13448,"Grundy"
2014,13374,"Grundy"
2015,13334,"Grundy"
2016,13279,"Grundy"
2017,13361,"Grundy"
2010,62514,"Hamblen"
2011,62801,"Hamblen"
2012,62683,"Hamblen"
2013,62997,"Hamblen"
2014,62952,"Hamblen"
2015,63384,"Hamblen"
2016,63717,"Hamblen"
2017,64277,"Hamblen"
2010,337262,"Hamilton"
2011,341035,"Hamilton"
2012,345693,"Hamilton"
2013,348919,"Hamilton"
2014,350602,"Hamilton"
2015,353748,"Hamilton"
2016,358061,"Hamilton"
2017,361613,"Hamilton"
2010,6802,"Hancock"
2011,6699,"Hancock"
2012,6660,"Hancock"
2013,6626,"Hancock"
2014,6624,"Hancock"
2015,6579,"Hancock"
2016,6597,"Hancock"
2017,6600,"Hancock"
2010,27171,"Hardeman"
2011,26848,"Hardeman"
2012,26546,"Hardeman"
2013,26282,"Hardeman"
2014,25931,"Hardeman"
2015,25783,"Hardeman"
2016,25476,"Hardeman"
2017,25447,"Hardeman"
2010,26054,"Hardin"
2011,25869,"Hardin"
2012,25963,"Hardin"
2013,25924,"Hardin"
2014,25794,"Hardin"
2015,25741,"Hardin"
2016,25759,"Hardin"
2017,25846,"Hardin"
2010,56872,"Hawkins"
2011,56528,"Hawkins"
2012,56413,"Hawkins"
2013,56577,"Hawkins"
2014,56368,"Hawkins"
2015,56242,"Hawkins"
2016,56366,"Hawkins"
2017,56459,"Hawkins"
2010,18812,"Haywood"
2011,18535,"Haywood"
2012,18246,"Haywood"
2013,18206,"Haywood"
2014,18164,"Haywood"
2015,17973,"Haywood"
2016,17803,"Haywood"
2017,17573,"Haywood"
2010,27789,"Henderson"
2011,28011,"Henderson"
2012,28014,"Henderson"
2013,27948,"Henderson"
2014,27987,"Henderson"
2015,27964,"Henderson"
2016,27793,"Henderson"
2017,27751,"Henderson"
2010,32402,"Henry"
2011,32410,"Henry"
2012,32376,"Henry"
2013,32229,"Henry"
2014,32246,"Henry"
2015,32145,"Henry"
2016,32245,"Henry"
2017,32450,"Henry"
2010,24647,"Hickman"
2011,24360,"Hickman"
2012,24191,"Hickman"
2013,24202,"Hickman"
2014,24431,"Hickman"
2015,24366,"Hickman"
2016,24649,"Hickman"
2017,24864,"Hickman"
2010,8447,"Houston"
2011,8343,"Houston"
2012,8400,"Houston"
2013,8271,"Houston"
2014,8216,"Houston"
2015,8122,"Houston"
2016,8118,"Houston"
2017,8213,"Houston"
2010,18558,"Humphreys"
2011,18399,"Humphreys"
2012,18284,"Humphreys"
2013,18245,"Humphreys"
2014,18148,"Humphreys"
2015,18146,"Humphreys"
2016,18381,"Humphreys"
2017,18484,"Humphreys"
2010,11623,"Jackson"
2011,11532,"Jackson"
2012,11534,"Jackson"
2013,11545,"Jackson"
2014,11520,"Jackson"
2015,11523,"Jackson"
2016,11602,"Jackson"
2017,11677,"Jackson"
2010,51705,"Jefferson"
2011,51891,"Jefferson"
2012,52231,"Jefferson"
2013,52105,"Jefferson"
2014,52384,"Jefferson"
2015,52987,"Jefferson"
2016,53157,"Jefferson"
2017,53804,"Jefferson"
2010,18288,"Johnson"
2011,18207,"Johnson"
2012,18149,"Johnson"
2013,17995,"Johnson"
2014,17932,"Johnson"
2015,17835,"Johnson"
2016,17777,"Johnson"
2017,17691,"Johnson"
2010,432972,"Knox"
2011,436653,"Knox"
2012,440705,"Knox"
2013,444194,"Knox"
2014,447939,"Knox"
2015,451321,"Knox"
2016,456114,"Knox"
2017,461860,"Knox"
2010,7828,"Lake"
2011,7793,"Lake"
2012,7720,"Lake"
2013,7699,"Lake"
2014,7669,"Lake"
2015,7574,"Lake"
2016,7530,"Lake"
2017,7468,"Lake"
2010,27719,"Lauderdale"
2011,27682,"Lauderdale"
2012,27665,"Lauderdale"
2013,27562,"Lauderdale"
2014,27360,"Lauderdale"
2015,26940,"Lauderdale"
2016,25350,"Lauderdale"
2017,25274,"Lauderdale"
2010,41967,"Lawrence"
2011,42064,"Lawrence"
2012,42073,"Lawrence"
2013,41921,"Lawrence"
2014,42210,"Lawrence"
2015,42449,"Lawrence"
2016,42979,"Lawrence"
2017,43396,"Lawrence"
2010,12174,"Lewis"
2011,12145,"Lewis"
2012,11941,"Lewis"
2013,11993,"Lewis"
2014,11896,"Lewis"
2015,11883,"Lewis"
2016,11912,"Lewis"
2017,12035,"Lewis"
2010,33379,"Lincoln"
2011,33372,"Lincoln"
2012,33365,"Lincoln"
2013,33474,"Lincoln"
2014,33409,"Lincoln"
2015,33554,"Lincoln"
2016,33528,"Lincoln"
2017,33751,"Lincoln"
2010,48702,"Loudon"
2011,49101,"Loudon"
2012,49744,"Loudon"
2013,50307,"Loudon"
2014,50533,"Loudon"
2015,50852,"Loudon"
2016,51275,"Loudon"
2017,52152,"Loudon"
2010,52168,"McMinn"
2011,52308,"McMinn"
2012,52365,"McMinn"
2013,52330,"McMinn"
2014,52538,"McMinn"
2015,52439,"McMinn"
2016,52659,"McMinn"
2017,52877,"McMinn"
2010,26061,"McNairy"
2011,26052,"McNairy"
2012,26120,"McNairy"
2013,26028,"McNairy"
2014,26025,"McNairy"
2015,25860,"McNairy"
2016,25810,"McNairy"
2017,26004,"McNairy"
2010,22240,"Macon"
2011,22436,"Macon"
2012,22473,"Macon"
2013,22606,"Macon"
2014,22937,"Macon"
2015,23120,"Macon"
2016,23455,"Macon"
2017,24079,"Macon"
2010,98250,"Madison"
2011,98030,"Madison"
2012,98493,"Madison"
2013,98689,"Madison"
2014,98064,"Madison"
2015,97523,"Madison"
2016,97514,"Madison"
2017,97643,"Madison"
2010,28220,"Marion"
2011,28093,"Marion"
2012,28214,"Marion"
2013,28301,"Marion"
2014,28350,"Marion"
2015,28376,"Marion"
2016,28321,"Marion"
2017,28425,"Marion"
2010,30681,"Marshall"
2011,30840,"Marshall"
2012,30915,"Marshall"
2013,31070,"Marshall"
2014,31250,"Marshall"
2015,31543,"Marshall"
2016,31973,"Marshall"
2017,32931,"Marshall"
2010,81174,"Maury"
2011,81470,"Maury"
2012,81981,"Maury"
2013,83542,"Maury"
2014,85345,"Maury"
2015,87390,"Maury"
2016,89588,"Maury"
2017,92163,"Maury"
2010,11794,"Meigs"
2011,11668,"Meigs"
2012,11669,"Meigs"
2013,11651,"Meigs"
2014,11699,"Meigs"
2015,11785,"Meigs"
2016,11948,"Meigs"
2017,12068,"Meigs"
2010,44617,"Monroe"
2011,44912,"Monroe"
2012,45082,"Monroe"
2013,45200,"Monroe"
2014,45388,"Monroe"
2015,45693,"Monroe"
2016,45967,"Monroe"
2017,46240,"Monroe"
2010,173168,"Montgomery"
2011,176475,"Montgomery"
2012,184671,"Montgomery"
2013,184104,"Montgomery"
2014,188979,"Montgomery"
2015,192542,"Montgomery"
2016,194795,"Montgomery"
2017,200182,"Montgomery"
2010,6333,"Moore"
2011,6373,"Moore"
2012,6310,"Moore"
2013,6280,"Moore"
2014,6298,"Moore"
2015,6256,"Moore"
2016,6293,"Moore"
2017,6384,"Moore"
2010,22018,"Morgan"
2011,21997,"Morgan"
2012,21892,"Morgan"
2013,21661,"Morgan"
2014,21688,"Morgan"
2015,21487,"Morgan"
2016,21724,"Morgan"
2017,21636,"Morgan"
2010,31821,"Obion"
2011,31668,"Obion"
2012,31306,"Obion"
2013,31011,"Obion"
2014,30815,"Obion"
2015,30559,"Obion"
2016,30526,"Obion"
2017,30385,"Obion"
2010,22094,"Overton"
2011,22161,"Overton"
2012,22165,"Overton"
2013,21971,"Overton"
2014,21948,"Overton"
2015,22067,"Overton"
2016,21978,"Overton"
2017,22012,"Overton"
2010,7938,"Perry"
2011,7861,"Perry"
2012,7848,"Perry"
2013,7878,"Perry"
2014,7819,"Perry"
2015,7848,"Perry"
2016,7892,"Perry"
2017,7975,"Perry"
2010,5073,"Pickett"
2011,5096,"Pickett"
2012,5037,"Pickett"
2013,5004,"Pickett"
2014,5068,"Pickett"
2015,5126,"Pickett"
2016,5085,"Pickett"
2017,5073,"Pickett"
2010,16817,"Polk"
2011,16745,"Polk"
2012,16613,"Polk"
2013,16636,"Polk"
2014,16685,"Polk"
2015,16763,"Polk"
2016,16770,"Polk"
